Name,Profile,Team,Matches_Played,Total_points,Successful_raids,Raid_points,Successful_tackles,Tackle_points,Avg_raid_points,Avg_tackle_points,Do_or_Die_raid_points,Super_raids,Super_tackles,Super_10s,High_5s,Season
sukesh hegde,Raider,Bengal Warriors,96,400,289,385,13,15,4.01,0.16,98,15,2,1,,All
siddharth sirish desai,Raider,Telugu Titans,39,398,312,392,6,6,10.05,0.15,63,16,,19,,All
rajesh narwal,All Rounder,Dabang Delhi,92,397,224,284,105,113,3.26,1.23,57,12,8,4,3,All
vikash kandola,Raider,Haryana Steelers,51,395,302,386,9,9,7.57,0.18,77,12,,15,,All
meraj sheykh,All Rounder,Dabang Delhi,94,393,249,339,48,54,3.65,0.57,95,17,6,6,,All
prashanth kumar rai,Raider,Haryana Steelers,94,379,286,370,6,9,4.07,0.1,68,8,3,11,,All
shrikant jadhav,Raider,UP Yoddha,72,378,276,358,17,20,5.11,0.28,93,8,3,10,,All
k. prapanjan,Raider,Bengal Warriors,81,369,284,363,6,6,4.54,0.07,79,7,,10,,All
ravinder pahal,Defender,Dabang Delhi,108,332,8,14,299,318,0.54,2.94,,,19,,23,All
ran singh,All Rounder,Tamil Thalaivas,117,326,72,99,215,227,1.36,1.94,22,4,12,,4,All
deepak narwal,Raider,Jaipur Pink Panthers,81,324,244,311,12,13,3.89,0.16,71,4,1,9,,All
chandran ranjit,Raider,Dabang Delhi,60,320,250,310,8,10,5.17,0.17,38,9,2,6,,All
nilesh salunke,Raider,Jaipur Pink Panthers,79,317,229,303,12,14,3.99,0.18,78,9,2,5,,All
dharmaraj cheralathan,Defender,Haryana Steelers,116,300,29,43,232,257,0.57,2.22,6,,25,,12,All
wazir singh,Raider,Haryana Steelers,47,300,221,278,18,22,6.04,0.47,54,7,4,9,,All
fazel atrachali,Defender,U Mumba,97,296,2,4,274,292,0.14,3.01,,,18,,19,All
rohit baliyan,Raider,U Mumba,67,296,221,267,27,29,4.11,0.43,30,6,2,3,,All
mohit chhillar,Defender,Tamil Thalaivas,109,284,3,7,254,277,0.28,2.54,,,23,,18,All
pawan kumar kadian,Raider,Puneri Paltan,74,279,206,277,2,2,3.79,0.03,60,4,,5,,All
po surjeet singh,Defender,Puneri Paltan,92,275,7,9,250,266,0.17,2.89,,,16,,25,All
rajesh mondal,Raider,Puneri Paltan,89,270,212,260,9,10,2.92,0.11,126,7,1,1,,All
girish maruti ernak,Defender,Puneri Paltan,104,269,3,10,245,259,0.24,2.49,1,1,14,,16,All
rakesh kumar,All Rounder,Telugu Titans,55,260,164,186,68,74,3.38,1.35,17,1,6,3,1,All
surender nada,Defender,Haryana Steelers,71,243,15,21,206,222,0.54,3.13,2,,16,,19,All
amit hooda,Defender,Jaipur Pink Panthers,86,239,4,10,211,229,0.37,2.66,1,,18,,11,All
shabeer bappu,Raider,Tamil Thalaivas,74,236,169,213,16,23,2.88,0.31,53,5,7,5,1,All
manjeet,Raider,Puneri Paltan,42,233,162,191,40,42,4.55,1,34,5,2,4,,All
jeeva kumar,Defender,Bengal Warriors,111,227,1,1,204,226,,2.04,,,22,,5,All
rohit gulia,All Rounder,Gujarat Fortune Giants,58,226,176,211,14,15,3.64,0.26,37,3,1,4,,All
sandeep kumar dhull,Defender,Jaipur Pink Panthers,64,202,,1,183,201,,3.14,,,18,,13,All
vishal bhardwaj,Defender,Telugu Titans,59,199,1,1,177,198,0.04,3.36,,,21,,15,All
nitesh kumar,Defender,UP Yoddha,62,199,,2,182,197,0.22,3.18,,,15,,15,All
mahendra ganesh rajput,Raider,Gujarat Fortune Giants,62,195,132,180,13,15,2.95,0.24,47,9,2,2,,All
vishal mane,Defender,Dabang Delhi,124,194,,,185,194,,1.56,,,9,,8,All
deepak kumar dahiya,Raider,Puneri Paltan,53,189,142,181,7,8,3.42,0.15,79,8,1,2,,All
mahesh goud,Raider,Bengal Warriors,65,189,133,165,21,24,2.66,0.37,39,4,3,,,All
vijay,All Rounder,Dabang Delhi,58,186,97,125,57,61,2.36,1.05,11,3,4,1,1,All
parvesh bhainswal,Defender,Gujarat Fortune Giants,76,185,,,175,185,,2.43,,,10,,11,All
cpo surjeet singh,Raider,Tamil Thalaivas,48,184,138,176,8,8,3.67,0.17,19,3,,6,,All
ajay kumar,Raider,Gujarat Fortune Giants,50,183,137,182,1,1,3.79,0.02,79,4,,4,,All
sunil kumar,Defender,Gujarat Fortune Giants,68,182,3,3,167,179,0.08,2.63,1,,12,,10,All
kuldeep singh,All Rounder,Patna Pirates,66,182,39,59,103,123,1.13,1.86,7,2,20,,6,All
ravi dalal,Raider,Dabang Delhi,38,179,136,173,6,6,4.55,0.16,36,6,,3,,All
jaideep,Defender,Patna Pirates,67,177,,,167,177,0,2.64,,,10,,12,All
surjeet narwal,Raider,Bengal Warriors,31,174,133,160,12,14,5.16,0.45,12,4,2,7,,All
nitin madane,Raider,U Mumba,37,173,132,165,5,8,4.46,0.22,33,4,3,6,,All
joginder singh narwal,Defender,Dabang Delhi,79,173,3,4,159,169,0.8,2.14,1,,10,,2,All
more gb,Raider,Gujarat Fortune Giants,45,171,108,136,32,35,3.02,0.78,37,1,3,2,,All
surinder singh,Defender,U Mumba,62,169,1,4,160,165,0.4,2.66,,1,5,,7,All
mahender singh,Defender,Bengaluru Bulls,62,167,1,1,153,166,0.06,2.68,,,13,,12,All
nitin rawal,All Rounder,Jaipur Pink Panthers,45,167,91,122,39,45,2.98,1,35,6,6,2,1,All
abhishek singh,Raider,U Mumba,31,162,131,155,7,7,5,0.23,50,3,,8,,All
